"","ncessch","year","math_test_pct_prof_midpt","title_i_eligible","teachers_fte_crdc","stud_enrollment","student_teacher_ratio"
"319","090168000289",2017,57,0,54,657,12.1666666666667
"320","090171000300",2011,89,0,218,2656,12.1834862385321
"321","090171000300",2012,91,0,215.5,2678,12.4269141531323
"322","090171000300",2014,66,1,212.5,2501,11.7694117647059
"323","090171000300",2015,65,1,212,2534,11.9528301886792
"324","090171000300",2016,62,1,220.5,2625,11.9047619047619
"325","090171000300",2017,68,1,229,2654,11.589519650655
"326","090174000311",2011,72,0,56,652,11.6428571428571
"327","090174000311",2012,82,0,57,624,10.9473684210526
"328","090174000311",2014,22,0,56,571,10.1964285714286
"329","090174000311",2015,32,0,54,565,10.462962962963
"330","090174000311",2016,37,0,53.5,568,10.6168224299065
"331","090174000311",2017,32,0,53,535,10.0943396226415
"332","090177000318",2011,79,0,108,1237,11.4537037037037
"333","090177000318",2012,77,0,103.5,1183,11.4299516908213
"334","090177000318",2013,24.5,0,99,1123,11.3434343434343
"335","090177000318",2014,17,0,95,1089,11.4631578947368
"336","090177000318",2015,37,0,91,1070,11.7582417582418
"337","090177000318",2016,37,0,90.5,1053,11.6353591160221
"338","090177000318",2017,47,0,90,1043,11.5888888888889
"339","090180000332",2011,97.5,0,83,1131,13.6265060240964
"340","090180000332",2012,97.5,0,82,1070,13.0487804878049
"341","090180000332",2014,57,0,79.5,1076,13.5345911949686
"342","090180000332",2015,62,0,78,1083,13.8846153846154
"343","090180000332",2016,62,0,81,1123,13.8641975308642
"344","090180000332",2017,62,0,84,1131,13.4642857142857
"345","090186000339",2011,69,0,148,1851,12.5067567567568
"346","090186000339",2012,66,0,158,1802,11.4050632911392
"347","090186000339",2014,24,0,160,1696,10.6
"348","090186000339",2015,34,0,152,1598,10.5131578947368
"349","090186000339",2016,29,0,149,1557,10.4496644295302
"350","090186000339",2017,30,0,146,1496,10.2465753424658
"351","090192001295",2017,32,1,75,485,6.46666666666667
"352","090192001370",2017,32,1,47,435,9.25531914893617
"353","090192001381",2011,82,1,55,389,7.07272727272727
"354","090192001381",2015,47,1,30,431,14.3666666666667
"355","090192001381",2016,57,1,28,431,15.3928571428571
"356","090192001381",2017,47,1,26,439,16.8846153846154
"357","090192001403",2015,17,1,22,268,12.1818181818182
"358","090192001403",2016,5,1,22,272,12.3636363636364
"359","090192001403",2017,32,1,22,320,14.5454545454545
"360","090192001478",2017,17,1,38,334,8.78947368421053
"361","090192001479",2011,67,1,29,327,11.2758620689655
"362","090192001479",2012,77,1,29,329,11.3448275862069
"363","090192001479",2014,12,1,30,375,12.5
"364","090192001479",2015,22,1,31,419,13.5161290322581
"365","090192001479",2016,27,1,30,421,14.0333333333333
"366","090192001479",2017,22,1,29,432,14.8965517241379
"367","090192001522",2011,32,1,20,297,14.85
"368","090192001522",2012,24.5,1,20.5,244,11.9024390243902
"369","090192001522",2014,5,1,21.5,275,12.7906976744186
"370","090192001522",2015,5,1,22,285,12.9545454545455
"371","090192001522",2016,5,1,16,168,10.5
"372","090192001522",2017,10,1,10,73,7.3
"373","090192001552",2011,24.5,1,24,324,13.5
"374","090192001552",2012,37,1,24.5,377,15.3877551020408
"375","090192001552",2014,2.5,1,22.5,256,11.3777777777778
"376","090192001552",2015,5,1,20,233,11.65
"377","090192001552",2016,5,1,19,236,12.4210526315789
"378","090192001552",2017,5,1,18,219,12.1666666666667
"379","090192001553",2011,24.5,1,27,116,4.2962962962963
"380","090192001559",2011,27,1,28,378,13.5
"381","090192001559",2012,32,1,30,489,16.3
"382","090192001559",2014,5,1,30.5,394,12.9180327868852
"383","090192001559",2015,2.5,1,29,362,12.4827586206897
"384","090192001559",2016,2.5,1,29,383,13.2068965517241
"385","090192001559",2017,2.5,1,29,371,12.7931034482759
"386","090192001562",2011,24.5,1,20,317,15.85
"387","090192001562",2015,5,1,18,207,11.5
"388","090192001562",2016,5,1,17,190,11.1764705882353
"389","090192001562",2017,5,1,16,211,13.1875
"390","090192001572",2015,2.5,1,23,379,16.4782608695652
"391","090192001572",2016,2.5,1,35,688,19.6571428571429
"392","090192001572",2017,2.5,1,47,631,13.4255319148936
"393","090192001574",2011,24.5,1,31,433,13.9677419354839
"394","090192001574",2015,5,1,33,304,9.21212121212121
"395","090192001574",2016,5,1,30.5,346,11.344262295082
"396","090192001574",2017,2.5,1,28,344,12.2857142857143
"397","090192001576",2011,32,1,27,397,14.7037037037037
"398","090192001576",2012,32,1,32.5,533,16.4
"399","090192001576",2014,24.5,1,36.5,388,10.6301369863014
"400","090192001576",2015,2.5,1,35,367,10.4857142857143
"401","090192001576",2016,5,1,31,314,10.1290322580645
"402","090192001576",2017,5,1,27,360,13.3333333333333
"403","090192001650",2015,10,0,4,56,14
"404","090192001650",2016,10,0,4,57,14.25
"405","090192001650",2017,10,0,4,33,8.25
"406","090207000392",2011,67,0,65,822,12.6461538461538
"407","090207000392",2012,72,0,66,893,13.530303030303
"408","090207000392",2013,24.5,0,67,855,12.7611940298507
"409","090207000392",2014,22,0,68,792,11.6470588235294
"410","090207000392",2015,22,0,69,825,11.9565217391304
"411","090207000392",2016,22,0,71,823,11.5915492957746
"412","090207000392",2017,27,0,73,802,10.986301369863
"413","090213000396",2011,77,0,47,445,9.46808510638298
"414","090213000396",2012,82,0,44,423,9.61363636363636
"415","090213000396",2014,37,0,41,381,9.29268292682927
"416","090213000396",2015,52,0,41,377,9.19512195121951
"417","090213000396",2016,47,0,45,364,8.08888888888889
"418","090213000396",2017,42,0,49,352,7.18367346938776
"419","090216000401",2011,92,0,79,934,11.8227848101266
"420","090216000401",2012,92,0,77,961,12.4805194805195
"421","090216000401",2013,75,0,75,933,12.44
"422","090216000401",2014,47,0,74.5,896,12.0268456375839
"423","090216000401",2015,42,0,74,833,11.2567567567568
"424","090216000401",2016,42,0,70.5,798,11.3191489361702
"425","090216000401",2017,52,0,67,759,11.3283582089552
"426","090219001529",2011,24.5,0,2,24,12
"427","090222000406",2011,97.5,0,53,344,6.49056603773585
"428","090222000406",2015,57,0,31,296,9.54838709677419
"429","090222000406",2016,57,0,32,292,9.125
"430","090222000406",2017,42,0,33,285,8.63636363636364
"431","090228000411",2011,99.5,1,100,1257,12.57
"432","090228000411",2012,96,1,105.5,1255,11.8957345971564
"433","090228000411",2013,97.5,1,111,1251,11.2702702702703
"434","090228000411",2014,5,1,100,1229,12.29
"435","090228000411",2015,72,1,89,1164,13.0786516853933
"436","090228000411",2016,72,1,94,1153,12.2659574468085
"437","090228000411",2017,72,1,99,1128,11.3939393939394
"438","090231000424",2011,71,0,172,1779,10.343023255814
"439","090231000424",2012,62,0,171.5,1693,9.87172011661808
"440","090231000424",2014,22,0,153,1526,9.97385620915033
"441","090231000424",2015,21,0,135,1534,11.362962962963
"442","090231000424",2016,23,0,146,1555,10.6506849315068
"443","090231000424",2017,30,0,157,1555,9.90445859872611
"444","090240000441",2011,62,0,91,1258,13.8241758241758
"445","090240000441",2015,17,0,93,1177,12.6559139784946
"446","090240000441",2016,17,0,94,1191,12.6702127659574
"447","090240000441",2017,17,0,95,1134,11.9368421052632
"448","090240000449",2011,57,0,82,1101,13.4268292682927
"449","090240000449",2012,47,0,82.5,1174,14.230303030303
"450","090240000449",2014,12,0,84.5,1097,12.9822485207101
"451","090240000449",2015,17,0,86,1013,11.7790697674419
"452","090240000449",2016,17,0,85,971,11.4235294117647
"453","090240000449",2017,12,0,84,915,10.8928571428571
"454","090249000465",2011,72,0,87,1313,15.0919540229885
"455","090249000465",2012,72,0,93.5,1307,13.9786096256684
"456","090249000465",2014,12,0,103.5,1197,11.5652173913043
"457","090249000465",2015,27,0,107,1202,11.2336448598131
"458","090249000465",2016,37,0,103,1238,12.0194174757282
"459","090249000465",2017,27,0,99,1262,12.7474747474747
"460","090252000472",2011,77,0,78,1016,13.025641025641
"461","090252000472",2012,77,0,71.5,1001,14
"462","090252000472",2014,32,0,73,924,12.6575342465753
"463","090252000472",2015,37,0,81,940,11.6049382716049
"464","090252000472",2016,42,0,85.5,865,10.1169590643275
"465","090252000472",2017,52,0,90,821,9.12222222222222
"466","090252000473",2011,87,0,74,993,13.4189189189189
"467","090252000473",2012,87,0,64.5,1000,15.5038759689922
"468","090252000473",2014,42,0,67.5,919,13.6148148148148
"469","090252000473",2015,37,0,80,920,11.5
"470","090252000473",2016,52,0,85.5,903,10.5614035087719
"471","090252000473",2017,47,0,91,912,10.021978021978
"472","090255000489",2011,92,0,86,1272,14.7906976744186
"473","090255000489",2015,62,0,94,1092,11.6170212765957
"474","090255000489",2016,62,0,93,1051,11.3010752688172
"475","090255000489",2017,57,0,92,1017,11.054347826087
"476","090258000495",2011,77,0,66,772,11.6969696969697
"477","090258000495",2012,77,0,65.5,721,11.0076335877863
"478","090258000495",2014,27,0,69.5,700,10.0719424460432
"479","090258000495",2015,37,0,74,654,8.83783783783784
"480","090258000495",2016,47,0,69,636,9.21739130434783
"481","090258000495",2017,42,0,64,613,9.578125
"482","090264000505",2011,82,0,98,1344,13.7142857142857
"483","090264000505",2012,68,0,99,1299,13.1212121212121
"484","090264000505",2014,27,0,95,1259,13.2526315789474
"485","090264000505",2015,22,0,90,1198,13.3111111111111
"486","090264000505",2016,22,0,94.5,1218,12.8888888888889
"487","090264000505",2017,22,0,99,1226,12.3838383838384
"488","090267000521",2011,44,1,186,2517,13.5322580645161
"489","090267000521",2012,38,1,168,2530,15.0595238095238
"490","090267000521",2014,15,1,150.5,2457,16.3255813953488
"491","090267000521",2015,13,1,151,2460,16.2913907284768
"492","090267000521",2016,12,1,148.5,2198,14.8013468013468
"493","090267000521",2017,13,1,146,2184,14.958904109589
"494","090270000531",2011,96,0,100,1310,13.1
"495","090270000531",2012,96,0,98,1275,13.0102040816327
"496","090270000531",2014,67,0,96,1250,13.0208333333333
"497","090270000531",2015,84,0,96,1251,13.03125
"498","090270000531",2016,81,0,105,1266,12.0571428571429
"499","090270000531",2017,78,0,114,1319,11.5701754385965
"500","090273000537",2011,87,1,84,1003,11.9404761904762
"501","090273000537",2012,87,0,82.5,1010,12.2424242424242
"502","090273000537",2014,17,1,80,933,11.6625
"503","090273000537",2015,47,1,79,904,11.4430379746835
"504","090273000537",2016,42,1,74.5,844,11.3288590604027
